stateFips,countyFips,cases,date,deaths
39,061,0,2020-02-14,1
53,033,1,2020-02-14,0
04,013,1,2020-02-15,0
06,037,1,2020-02-15,0
06,059,1,2020-02-15,0
06,073,2,2020-02-15,0
06,077,1,2020-02-15,0
06,085,1,2020-02-15,0
06,099,2,2020-02-15,0
17,031,2,2020-02-15,0
25,025,1,2020-02-15,0
25,027,1,2020-02-15,0
39,061,0,2020-02-15,1
53,033,1,2020-02-15,0
04,013,1,2020-02-16,0
06,037,1,2020-02-16,0
06,059,1,2020-02-16,0
06,073,2,2020-02-16,0
06,077,1,2020-02-16,0
06,085,1,2020-02-16,0
06,099,2,2020-02-16,0
17,031,2,2020-02-16,0
25,025,1,2020-02-16,0
25,027,1,2020-02-16,0
39,061,0,2020-02-16,1
53,033,1,2020-02-16,0
04,013,1,2020-02-17,0
06,037,1,2020-02-17,0
06,057,1,2020-02-17,0
06,059,1,2020-02-17,0
06,073,2,2020-02-17,0
06,077,1,2020-02-17,0
06,085,1,2020-02-17,0
06,099,2,2020-02-17,0
17,031,2,2020-02-17,0
25,025,1,2020-02-17,0
25,027,1,2020-02-17,0
39,061,0,2020-02-17,1
53,033,1,2020-02-17,0
04,013,1,2020-02-18,0
06,031,1,2020-02-18,0
06,037,1,2020-02-18,0
06,057,1,2020-02-18,0
06,059,1,2020-02-18,0
06,073,2,2020-02-18,0
06,077,1,2020-02-18,0
06,085,1,2020-02-18,0
06,099,2,2020-02-18,0
17,031,2,2020-02-18,0
25,025,1,2020-02-18,0
25,027,1,2020-02-18,0
39,061,0,2020-02-18,1
53,033,1,2020-02-18,0
04,013,1,2020-02-19,0
06,031,1,2020-02-19,0
06,037,1,2020-02-19,0
06,057,1,2020-02-19,0
06,059,1,2020-02-19,0
06,073,2,2020-02-19,0
06,077,1,2020-02-19,0
06,085,1,2020-02-19,0
06,099,2,2020-02-19,0
17,031,2,2020-02-19,0
25,025,1,2020-02-19,0
25,027,1,2020-02-19,0
39,061,0,2020-02-19,1
53,033,1,2020-02-19,0
04,013,1,2020-02-20,0
06,031,1,2020-02-20,0
06,037,1,2020-02-20,0
06,057,1,2020-02-20,0
06,059,1,2020-02-20,0
06,073,2,2020-02-20,0
06,077,1,2020-02-20,0
06,085,1,2020-02-20,0
06,099,2,2020-02-20,0
17,031,2,2020-02-20,0
25,025,1,2020-02-20,0
25,027,1,2020-02-20,0
39,061,0,2020-02-20,1
53,033,1,2020-02-20,0
04,013,1,2020-02-21,0
06,031,1,2020-02-21,0
06,037,1,2020-02-21,0
06,057,1,2020-02-21,0
06,059,1,2020-02-21,0
06,073,2,2020-02-21,0
06,077,1,2020-02-21,0
06,085,1,2020-02-21,0
06,099,2,2020-02-21,0
17,031,2,2020-02-21,0
25,025,1,2020-02-21,0
25,027,1,2020-02-21,0
39,061,0,2020-02-21,1
53,033,1,2020-02-21,0
04,013,1,2020-02-22,0
06,031,1,2020-02-22,0
06,037,1,2020-02-22,0
06,057,1,2020-02-22,0
06,059,1,2020-02-22,0
06,073,2,2020-02-22,0
06,077,1,2020-02-22,0
06,085,1,2020-02-22,0
06,099,2,2020-02-22,0
17,031,2,2020-02-22,0
25,025,1,2020-02-22,0
25,027,1,2020-02-22,0
39,061,0,2020-02-22,1
53,033,1,2020-02-22,0
04,013,1,2020-02-23,0
06,031,1,2020-02-23,0
06,037,1,2020-02-23,0
06,057,1,2020-02-23,0
06,059,1,2020-02-23,0
06,073,2,2020-02-23,0
06,077,1,2020-02-23,0
06,085,1,2020-02-23,0
06,099,2,2020-02-23,0
17,031,2,2020-02-23,0
25,025,1,2020-02-23,0
25,027,1,2020-02-23,0
39,061,0,2020-02-23,1
53,033,1,2020-02-23,0
04,013,1,2020-02-24,0
06,031,1,2020-02-24,0
06,037,1,2020-02-24,0
06,057,1,2020-02-24,0
06,059,1,2020-02-24,0
06,065,1,2020-02-24,0
06,073,2,2020-02-24,0
06,077,1,2020-02-24,0
06,085,1,2020-02-24,0
06,099,2,2020-02-24,0
17,031,2,2020-02-24,0
25,025,1,2020-02-24,0
25,027,1,2020-02-24,0
39,061,0,2020-02-24,1
53,033,1,2020-02-24,0
04,013,1,2020-02-25,0
06,031,1,2020-02-25,0
06,037,1,2020-02-25,0
06,057,1,2020-02-25,0
06,059,1,2020-02-25,0
06,065,1,2020-02-25,0
06,073,2,2020-02-25,0
06,077,2,2020-02-25,0
06,085,1,2020-02-25,0
06,099,2,2020-02-25,0
17,031,2,2020-02-25,0
25,025,1,2020-02-25,0
25,027,1,2020-02-25,0
39,061,0,2020-02-25,1
53,033,1,2020-02-25,0
04,013,1,2020-02-26,0
06,031,1,2020-02-26,0
06,037,1,2020-02-26,0
06,057,1,2020-02-26,0
06,059,1,2020-02-26,0
06,065,1,2020-02-26,0
06,073,2,2020-02-26,0
06,077,3,2020-02-26,0
06,085,1,2020-02-26,0
06,099,2,2020-02-26,0
17,031,2,2020-02-26,0
25,025,1,2020-02-26,0
25,027,1,2020-02-26,0
39,061,0,2020-02-26,1
53,033,1,2020-02-26,0
04,013,1,2020-02-27,0
06,031,1,2020-02-27,0
06,037,1,2020-02-27,0
06,057,1,2020-02-27,0
06,059,1,2020-02-27,0
06,065,1,2020-02-27,0
06,073,2,2020-02-27,0
06,077,3,2020-02-27,0
06,085,1,2020-02-27,0
06,099,2,2020-02-27,0
17,031,2,2020-02-27,0
25,025,1,2020-02-27,0
25,027,1,2020-02-27,0
39,061,0,2020-02-27,1
53,033,1,2020-02-27,0
04,013,1,2020-02-28,0
06,031,1,2020-02-28,0
06,037,1,2020-02-28,0
06,057,1,2020-02-28,0
06,059,1,2020-02-28,0
06,065,1,2020-02-28,0
06,073,2,2020-02-28,0
06,077,3,2020-02-28,0
06,085,1,2020-02-28,0
06,099,2,2020-02-28,0
17,031,2,2020-02-28,0
25,025,1,2020-02-28,0
25,027,1,2020-02-28,0
39,061,0,2020-02-28,1
53,033,1,2020-02-28,0
04,013,1,2020-02-29,0
06,031,1,2020-02-29,0
06,037,1,2020-02-29,0
06,057,1,2020-02-29,0
06,059,1,2020-02-29,0
06,065,1,2020-02-29,0
06,073,2,2020-02-29,0
06,077,3,2020-02-29,0
06,085,1,2020-02-29,0
06,099,2,2020-02-29,0
17,031,2,2020-02-29,0
25,025,1,2020-02-29,0
25,027,1,2020-02-29,0
39,061,0,2020-02-29,1
41,067,1,2020-02-29,0
53,033,6,2020-02-29,1
53,061,1,2020-02-29,0
04,013,1,2020-03-01,0
06,001,1,2020-03-01,0
06,019,1,2020-03-01,0
06,031,1,2020-03-01,0
06,037,1,2020-03-01,0
06,057,1,2020-03-01,0
06,059,1,2020-03-01,0
06,065,1,2020-03-01,0
06,073,2,2020-03-01,0
06,077,3,2020-03-01,0
06,085,4,2020-03-01,0
06,095,1,2020-03-01,0
06,099,2,2020-03-01,0
17,031,3,2020-03-01,0
25,021,1,2020-03-01,0
25,025,1,2020-03-01,0
25,027,1,2020-03-01,0
39,061,0,2020-03-01,1
41,067,1,2020-03-01,0
44,007,1,2020-03-01,0
53,033,9,2020-03-01,1
53,061,2,2020-03-01,0
04,013,1,2020-03-02,0
06,001,1,2020-03-02,0
06,019,1,2020-03-02,0
06,031,1,2020-03-02,0
06,037,1,2020-03-02,0
06,057,1,2020-03-02,0
06,059,1,2020-03-02,0
06,061,1,2020-03-02,0
06,065,1,2020-03-02,0
06,073,2,2020-03-02,0
06,077,3,2020-03-02,0
06,081,1,2020-03-02,0
06,085,5,2020-03-02,0
06,095,1,2020-03-02,0
06,097,1,2020-03-02,0
06,099,2,2020-03-02,0
12,057,1,2020-03-02,0
17,031,4,2020-03-02,0
25,017,1,2020-03-02,0
25,025,1,2020-03-02,0
25,027,1,2020-03-02,0
33,009,1,2020-03-02,0
37,183,1,2020-03-02,0
39,061,0,2020-03-02,1
41,059,1,2020-03-02,0
41,067,2,2020-03-02,0
44,007,2,2020-03-02,0
53,033,14,2020-03-02,5
53,061,4,2020-03-02,1
04,013,1,2020-03-03,0
06,001,2,2020-03-03,0
06,019,1,2020-03-03,0
06,031,1,2020-03-03,0
06,037,1,2020-03-03,0
06,057,1,2020-03-03,0
06,059,1,2020-03-03,0
06,061,2,2020-03-03,0
06,065,1,2020-03-03,0
06,073,2,2020-03-03,0
06,077,3,2020-03-03,0
06,081,1,2020-03-03,0
06,085,9,2020-03-03,0
06,095,1,2020-03-03,0
06,097,1,2020-03-03,0
06,099,2,2020-03-03,0
12,057,2,2020-03-03,0
13,121,2,2020-03-03,0
17,031,4,2020-03-03,0
25,017,1,2020-03-03,0
25,021,1,2020-03-03,0
25,025,1,2020-03-03,0
25,027,1,2020-03-03,0
29,510,1,2020-03-03,0
33,009,2,2020-03-03,0
36,119,1,2020-03-03,0
37,183,1,2020-03-03,0
39,061,0,2020-03-03,1
41,059,1,2020-03-03,0
41,067,2,2020-03-03,0
44,007,2,2020-03-03,0
53,033,21,2020-03-03,6
53,061,6,2020-03-03,1
04,013,1,2020-03-04,0
06,001,2,2020-03-04,0
06,013,1,2020-03-04,0
06,019,1,2020-03-04,0
06,031,1,2020-03-04,0
06,037,7,2020-03-04,0
06,057,1,2020-03-04,0
06,059,3,2020-03-04,0
06,061,2,2020-03-04,1
06,065,1,2020-03-04,0
06,073,2,2020-03-04,0
06,077,3,2020-03-04,0
06,081,1,2020-03-04,0
06,085,10,2020-03-04,0
06,095,1,2020-03-04,0
06,097,2,2020-03-04,0
06,099,2,2020-03-04,0
12,057,2,2020-03-04,0
13,121,2,2020-03-04,0
17,031,4,2020-03-04,0
25,017,1,2020-03-04,0
25,021,1,2020-03-04,0
25,025,3,2020-03-04,0
25,027,1,2020-03-04,0
29,510,1,2020-03-04,0
33,009,2,2020-03-04,0
36,119,10,2020-03-04,0
37,183,1,2020-03-04,0
39,061,0,2020-03-04,1
41,059,1,2020-03-04,0
41,067,2,2020-03-04,0
44,007,2,2020-03-04,0
53,033,31,2020-03-04,9
53,061,8,2020-03-04,1
04,013,1,2020-03-05,0
06,001,2,2020-03-05,0
06,013,1,2020-03-05,0
06,019,1,2020-03-05,0
06,031,1,2020-03-05,0
06,037,11,2020-03-05,0
06,057,1,2020-03-05,0
06,059,3,2020-03-05,0
06,061,2,2020-03-05,1
06,065,1,2020-03-05,0
06,067,1,2020-03-05,0
06,073,3,2020-03-05,0
06,075,2,2020-03-05,0
06,077,3,2020-03-05,0
06,081,1,2020-03-05,0
06,085,12,2020-03-05,0
06,095,1,2020-03-05,0
06,097,2,2020-03-05,0
06,099,2,2020-03-05,0
08,035,1,2020-03-05,0
08,059,1,2020-03-05,0
12,057,2,2020-03-05,0
12,113,1,2020-03-05,0
13,121,2,2020-03-05,0
17,031,5,2020-03-05,0
25,003,1,2020-03-05,0
25,017,5,2020-03-05,0
25,021,3,2020-03-05,0
25,025,4,2020-03-05,0
25,027,1,2020-03-05,0
29,510,1,2020-03-05,0
32,003,1,2020-03-05,0
33,009,2,2020-03-05,0
34,003,2,2020-03-05,0
36,047,1,2020-03-05,0
36,059,1,2020-03-05,0
36,061,1,2020-03-05,0
36,119,18,2020-03-05,0
37,183,1,2020-03-05,0
39,061,0,2020-03-05,1
41,059,1,2020-03-05,0
41,067,2,2020-03-05,0
44,007,2,2020-03-05,0
47,187,1,2020-03-05,0
48,157,1,2020-03-05,0
48,201,2,2020-03-05,0
53,025,1,2020-03-05,0
53,033,51,2020-03-05,10
53,061,18,2020-03-05,1
04,013,2,2020-03-06,0
06,001,3,2020-03-06,0
06,013,4,2020-03-06,0
06,019,1,2020-03-06,0
06,031,1,2020-03-06,0
06,037,13,2020-03-06,0
06,057,1,2020-03-06,0
06,059,3,2020-03-06,0
06,061,5,2020-03-06,1
06,065,1,2020-03-06,0
06,067,1,2020-03-06,0
06,073,3,2020-03-06,0
06,075,2,2020-03-06,0
06,077,3,2020-03-06,0
06,081,1,2020-03-06,0
06,085,18,2020-03-06,0
06,095,2,2020-03-06,0
06,097,2,2020-03-06,0
06,099,2,2020-03-06,0
06,111,1,2020-03-06,0
06,113,1,2020-03-06,0
08,031,2,2020-03-06,0
08,035,3,2020-03-06,0
08,037,1,2020-03-06,0
08,041,1,2020-03-06,0
08,059,1,2020-03-06,0
12,057,2,2020-03-06,0
12,113,1,2020-03-06,0
13,121,2,2020-03-06,0
13,233,1,2020-03-06,0
17,031,5,2020-03-06,0
18,097,1,2020-03-06,0
21,067,1,2020-03-06,0
24,031,3,2020-03-06,0
25,003,1,2020-03-06,0
25,017,10,2020-03-06,0
25,021,7,2020-03-06,0
25,025,9,2020-03-06,0
25,027,1,2020-03-06,0
27,123,1,2020-03-06,0
29,510,1,2020-03-06,0
31,055,1,2020-03-06,0
32,003,1,2020-03-06,0
32,031,1,2020-03-06,0
33,009,2,2020-03-06,0
34,003,2,2020-03-06,0
36,047,1,2020-03-06,0
36,059,1,2020-03-06,0
36,061,2,2020-03-06,0
36,081,1,2020-03-06,0
36,119,19,2020-03-06,0
37,037,1,2020-03-06,0
37,183,1,2020-03-06,0
39,061,0,2020-03-06,1
41,059,1,2020-03-06,0
41,067,2,2020-03-06,0
42,045,1,2020-03-06,0
42,127,1,2020-03-06,0
44,007,2,2020-03-06,0
47,187,1,2020-03-06,0
48,157,1,2020-03-06,0
48,201,3,2020-03-06,0
53,025,1,2020-03-06,0
53,033,58,2020-03-06,12
53,061,19,2020-03-06,1
04,013,2,2020-03-07,0
04,021,2,2020-03-07,0
06,001,3,2020-03-07,0
06,013,4,2020-03-07,0
06,019,2,2020-03-07,0
06,031,1,2020-03-07,0
06,037,14,2020-03-07,0
06,039,1,2020-03-07,0
06,057,1,2020-03-07,0
06,059,3,2020-03-07,0
06,061,6,2020-03-07,1
06,065,1,2020-03-07,0
06,067,3,2020-03-07,0
06,073,3,2020-03-07,0
06,075,9,2020-03-07,0
06,077,3,2020-03-07,0
06,081,1,2020-03-07,0
06,085,29,2020-03-07,0
06,087,1,2020-03-07,0
06,095,2,2020-03-07,0
06,097,2,2020-03-07,0
06,099,2,2020-03-07,0
06,111,1,2020-03-07,0
06,113,2,2020-03-07,0
08,031,2,2020-03-07,0
08,035,3,2020-03-07,0
08,037,1,2020-03-07,0
08,041,1,2020-03-07,0
08,059,1,2020-03-07,0
12,011,2,2020-03-07,0
12,057,2,2020-03-07,0
12,071,2,2020-03-07,0
12,113,1,2020-03-07,0
13,067,1,2020-03-07,0
13,121,3,2020-03-07,0
13,233,1,2020-03-07,0
15,003,1,2020-03-07,0
17,031,6,2020-03-07,0
18,097,1,2020-03-07,0
21,067,1,2020-03-07,0
24,031,3,2020-03-07,0
25,003,7,2020-03-07,0
25,017,30,2020-03-07,0
25,021,17,2020-03-07,0
25,025,17,2020-03-07,0
25,027,1,2020-03-07,0
27,123,1,2020-03-07,0
29,510,1,2020-03-07,0
31,055,1,2020-03-07,0
32,003,1,2020-03-07,0
32,031,1,2020-03-07,0
33,009,2,2020-03-07,0
34,003,4,2020-03-07,0
36,047,4,2020-03-07,0
36,059,4,2020-03-07,0
36,061,5,2020-03-07,0
36,081,2,2020-03-07,0
36,087,2,2020-03-07,0
36,091,2,2020-03-07,0
36,119,57,2020-03-07,0
37,037,1,2020-03-07,0
37,183,1,2020-03-07,0
39,061,0,2020-03-07,1
40,143,1,2020-03-07,0
41,029,1,2020-03-07,0
41,035,1,2020-03-07,0
41,059,1,2020-03-07,0
41,067,3,2020-03-07,0
42,045,1,2020-03-07,0
42,127,1,2020-03-07,0
44,007,3,2020-03-07,0
45,019,1,2020-03-07,0
45,055,1,2020-03-07,0
47,187,1,2020-03-07,0
48,157,3,2020-03-07,0
48,201,5,2020-03-07,0
49,011,1,2020-03-07,0
53,011,1,2020-03-07,0
53,025,1,2020-03-07,0
53,031,1,2020-03-07,0
53,033,71,2020-03-07,15
53,053,1,2020-03-07,0
53,061,27,2020-03-07,1
04,013,2,2020-03-08,0
04,021,2,2020-03-08,0
06,001,4,2020-03-08,0
06,013,9,2020-03-08,0
06,019,2,2020-03-08,0
06,031,1,2020-03-08,0
06,037,14,2020-03-08,0
06,039,1,2020-03-08,0
06,041,1,2020-03-08,0
06,057,1,2020-03-08,0
06,059,3,2020-03-08,0
06,061,7,2020-03-08,1
06,065,2,2020-03-08,0
06,067,4,2020-03-08,0
06,073,3,2020-03-08,0
06,075,9,2020-03-08,0
06,077,3,2020-03-08,0
06,081,4,2020-03-08,0
06,085,34,2020-03-08,0
06,087,1,2020-03-08,0
06,095,3,2020-03-08,0
06,097,2,2020-03-08,0
06,099,2,2020-03-08,0
06,111,1,2020-03-08,0
06,113,2,2020-03-08,0
08,031,2,2020-03-08,0
08,035,3,2020-03-08,0
08,037,1,2020-03-08,0
08,041,1,2020-03-08,0
08,059,1,2020-03-08,0
12,011,2,2020-03-08,0
12,057,2,2020-03-08,0
12,071,2,2020-03-08,1
12,081,1,2020-03-08,0
12,091,1,2020-03-08,0
12,113,1,2020-03-08,1
12,127,1,2020-03-08,0
13,067,1,2020-03-08,0
13,121,3,2020-03-08,0
13,233,1,2020-03-08,0
15,003,1,2020-03-08,0
17,031,7,2020-03-08,0
18,063,1,2020-03-08,0
18,097,1,2020-03-08,0
20,091,1,2020-03-08,0
21,067,1,2020-03-08,0
24,025,1,2020-03-08,0
24,031,4,2020-03-08,0
25,003,7,2020-03-08,0
25,009,1,2020-03-08,0
25,017,39,2020-03-08,0
25,021,23,2020-03-08,0
25,025,20,2020-03-08,0
25,027,1,2020-03-08,0
27,123,1,2020-03-08,0
29,189,1,2020-03-08,0
29,510,1,2020-03-08,0
31,055,1,2020-03-08,0
32,003,2,2020-03-08,0
32,031,2,2020-03-08,0
33,009,3,2020-03-08,0
33,015,1,2020-03-08,0
34,003,4,2020-03-08,0
34,017,1,2020-03-08,0
36,047,4,2020-03-08,0
36,059,5,2020-03-08,0
36,061,5,2020-03-08,0
36,081,2,2020-03-08,0
36,087,2,2020-03-08,0
36,091,2,2020-03-08,0
36,103,1,2020-03-08,0
36,111,1,2020-03-08,0
36,119,83,2020-03-08,0
37,037,1,2020-03-08,0
37,183,1,2020-03-08,0
39,061,0,2020-03-08,1
40,143,1,2020-03-08,0
41,019,1,2020-03-08,0
41,029,2,2020-03-08,0
41,035,1,2020-03-08,0
41,047,1,2020-03-08,0
41,059,1,2020-03-08,0
41,067,8,2020-03-08,0
42,045,1,2020-03-08,0
42,091,4,2020-03-08,0
42,127,1,2020-03-08,0
44,007,3,2020-03-08,0
45,019,1,2020-03-08,0
45,055,1,2020-03-08,0
47,037,1,2020-03-08,0
47,157,1,2020-03-08,0
47,187,1,2020-03-08,0
48,157,6,2020-03-08,0
48,201,5,2020-03-08,0
49,011,1,2020-03-08,0
50,003,1,2020-03-08,0
51,059,2,2020-03-08,0
53,011,1,2020-03-08,0
53,025,1,2020-03-08,0
53,031,1,2020-03-08,0
53,033,83,2020-03-08,17
53,037,1,2020-03-08,0
53,053,4,2020-03-08,0
53,061,31,2020-03-08,1
04,013,2,2020-03-09,0
04,021,2,2020-03-09,0
06,001,4,2020-03-09,0
06,013,9,2020-03-09,0
06,019,2,2020-03-09,0
06,031,1,2020-03-09,0
06,037,14,2020-03-09,0
06,039,1,2020-03-09,0
06,041,1,2020-03-09,0
06,057,1,2020-03-09,0
06,059,4,2020-03-09,0
06,061,7,2020-03-09,1
06,065,5,2020-03-09,0
06,067,7,2020-03-09,0
06,073,3,2020-03-09,0
06,075,14,2020-03-09,0
06,077,3,2020-03-09,0
06,081,6,2020-03-09,0
06,085,40,2020-03-09,1
06,087,2,2020-03-09,0
06,089,1,2020-03-09,0
06,095,3,2020-03-09,0
06,097,2,2020-03-09,0
06,099,2,2020-03-09,0
06,107,1,2020-03-09,0
06,111,1,2020-03-09,0
06,113,2,2020-03-09,0
08,005,1,2020-03-09,0
08,031,3,2020-03-09,0
08,035,3,2020-03-09,0
08,037,2,2020-03-09,0
08,041,1,2020-03-09,0
08,059,1,2020-03-09,0
08,069,1,2020-03-09,0
12,011,3,2020-03-09,0
12,015,1,2020-03-09,0
12,057,2,2020-03-09,0
12,071,2,2020-03-09,1
12,081,2,2020-03-09,0
12,091,1,2020-03-09,0
12,113,1,2020-03-09,1
12,127,1,2020-03-09,0
13,057,1,2020-03-09,0
13,067,3,2020-03-09,0
13,121,5,2020-03-09,0
13,233,1,2020-03-09,0
15,003,1,2020-03-09,0
17,031,7,2020-03-09,0
18,063,2,2020-03-09,0
18,097,1,2020-03-09,0
19,103,3,2020-03-09,0
20,091,1,2020-03-09,0
21,067,1,2020-03-09,0
21,097,2,2020-03-09,0
21,111,1,2020-03-09,0
24,025,1,2020-03-09,0
24,031,4,2020-03-09,0
25,003,7,2020-03-09,0
25,009,2,2020-03-09,0
25,017,42,2020-03-09,0
25,021,24,2020-03-09,0
25,025,20,2020-03-09,0
25,027,1,2020-03-09,0
27,019,1,2020-03-09,0
27,123,1,2020-03-09,0
29,189,1,2020-03-09,0
29,510,1,2020-03-09,0
31,055,3,2020-03-09,0
32,003,2,2020-03-09,0
32,031,2,2020-03-09,0
33,009,3,2020-03-09,0
33,015,1,2020-03-09,0
34,003,4,2020-03-09,0
34,017,1,2020-03-09,0
36,005,1,2020-03-09,0
36,047,6,2020-03-09,0
36,059,17,2020-03-09,0
36,061,5,2020-03-09,0
36,081,3,2020-03-09,0
36,087,4,2020-03-09,0
36,091,2,2020-03-09,0
36,103,1,2020-03-09,0
36,111,1,2020-03-09,0
36,119,98,2020-03-09,0
37,037,1,2020-03-09,0
37,183,6,2020-03-09,0
39,061,0,2020-03-09,1
40,143,1,2020-03-09,0
41,019,1,2020-03-09,0
41,029,2,2020-03-09,0
41,035,1,2020-03-09,0
41,047,1,2020-03-09,0
41,059,1,2020-03-09,0
41,067,8,2020-03-09,0
42,045,1,2020-03-09,0
42,091,5,2020-03-09,0
42,127,1,2020-03-09,0
44,007,3,2020-03-09,0
45,019,1,2020-03-09,0
45,055,1,2020-03-09,0
45,083,1,2020-03-09,0
47,037,1,2020-03-09,0
47,157,1,2020-03-09,0
47,187,1,2020-03-09,0
48,085,1,2020-03-09,0
48,157,6,2020-03-09,0
48,201,6,2020-03-09,0
49,011,1,2020-03-09,0
50,003,1,2020-03-09,0
51,059,2,2020-03-09,0
53,011,1,2020-03-09,0
